timestamp,station,precipitation_mm
2026-09-10T07:25:00Z,Königsallee,0
2026-09-10T07:25:00Z,Wasserbaulabor 2,0
2026-09-10T07:25:00Z,Herzogstraße,0
2026-09-10T07:30:00Z,An der Kost,0
2026-09-10T07:30:00Z,Wasserstraße,0
2026-09-10T07:30:00Z,Königsallee,0
2026-09-10T07:30:00Z,Wasserbaulabor 2,0
2026-09-10T07:30:00Z,Herzogstraße,0
2026-09-10T07:35:00Z,An der Kost,0
2026-09-10T07:35:00Z,Wasserstraße,0
2026-09-10T07:35:00Z,Königsallee,0
2026-09-10T07:35:00Z,Wasserbaulabor 2,0
2026-09-10T07:35:00Z,Herzogstraße,0
2026-09-10T07:40:00Z,An der Kost,0
2026-09-10T07:40:00Z,Wasserstraße,0
2026-09-10T07:40:00Z,Königsallee,0
2026-09-10T07:40:00Z,Wasserbaulabor 2,0
2026-09-10T07:40:00Z,Herzogstraße,0
2026-09-10T07:45:00Z,An der Kost,0
2026-09-10T07:45:00Z,Wasserstraße,0
2026-09-10T07:45:00Z,Königsallee,0
2026-09-10T07:45:00Z,Wasserbaulabor 2,0
2026-09-10T07:45:00Z,Herzogstraße,0
2026-09-10T07:50:00Z,An der Kost,0
2026-09-10T07:50:00Z,Wasserstraße,0
2026-09-10T07:50:00Z,Königsallee,0
2026-09-10T07:50:00Z,Wasserbaulabor 2,0
2026-09-10T07:50:00Z,Herzogstraße,0
2026-09-10T07:55:00Z,An der Kost,0
2026-09-10T07:55:00Z,Wasserstraße,0
2026-09-10T07:55:00Z,Königsallee,0
2026-09-10T07:55:00Z,Wasserbaulabor 2,0
2026-09-10T07:55:00Z,Herzogstraße,0
2026-09-10T08:00:00Z,An der Kost,0
2026-09-10T08:00:00Z,Wasserstraße,0
2026-09-10T08:00:00Z,Königsallee,0
2026-09-10T08:00:00Z,Wasserbaulabor 2,0
2026-09-10T08:00:00Z,Herzogstraße,0
2026-09-10T08:05:00Z,An der Kost,0
2026-09-10T08:05:00Z,Wasserstraße,0
2026-09-10T08:05:00Z,Königsallee,0
2026-09-10T08:05:00Z,Wasserbaulabor 2,0
2026-09-10T08:05:00Z,Herzogstraße,0
2026-09-10T08:10:00Z,An der Kost,0
2026-09-10T08:10:00Z,Wasserstraße,0
2026-09-10T08:10:00Z,Königsallee,0
2026-09-10T08:10:00Z,Wasserbaulabor 2,0
2026-09-10T08:10:00Z,Herzogstraße,0
2026-09-10T08:15:00Z,An der Kost,0
2026-09-10T08:15:00Z,Wasserstraße,0
2026-09-10T08:15:00Z,Königsallee,0
2026-09-10T08:15:00Z,Wasserbaulabor 2,0
2026-09-10T08:15:00Z,Herzogstraße,0
2026-09-10T08:20:00Z,An der Kost,0
2026-09-10T08:20:00Z,Wasserstraße,0
2026-09-10T08:20:00Z,Königsallee,0
2026-09-10T08:20:00Z,Wasserbaulabor 2,0
2026-09-10T08:20:00Z,Herzogstraße,0
2026-09-10T08:25:00Z,An der Kost,0
2026-09-10T08:25:00Z,Wasserstraße,0
2026-09-10T08:25:00Z,Königsallee,0
2026-09-10T08:25:00Z,Wasserbaulabor 2,0
2026-09-10T08:25:00Z,Herzogstraße,0
2026-09-10T08:30:00Z,An der Kost,0
2026-09-10T08:30:00Z,Wasserstraße,0
2026-09-10T08:30:00Z,Königsallee,0
2026-09-10T08:30:00Z,Wasserbaulabor 2,0
2026-09-10T08:30:00Z,Herzogstraße,0
2026-09-10T08:35:00Z,An der Kost,0
2026-09-10T08:35:00Z,Wasserstraße,0
2026-09-10T08:35:00Z,Königsallee,0
2026-09-10T08:35:00Z,Wasserbaulabor 2,0
2026-09-10T08:35:00Z,Herzogstraße,0
2026-09-10T08:40:00Z,An der Kost,0
2026-09-10T08:40:00Z,Wasserstraße,0
2026-09-10T08:40:00Z,Königsallee,0
2026-09-10T08:40:00Z,Wasserbaulabor 2,0
2026-09-10T08:40:00Z,Herzogstraße,0
2026-09-10T08:45:00Z,An der Kost,0
2026-09-10T08:45:00Z,Wasserstraße,0
2026-09-10T08:45:00Z,Königsallee,0
2026-09-10T08:45:00Z,Wasserbaulabor 2,0
2026-09-10T08:45:00Z,Herzogstraße,0
2026-09-10T08:50:00Z,An der Kost,0
2026-09-10T08:50:00Z,Wasserstraße,0
2026-09-10T08:50:00Z,Königsallee,0
2026-09-10T08:50:00Z,Wasserbaulabor 2,0
2026-09-10T08:50:00Z,Herzogstraße,0
2026-09-10T08:55:00Z,An der Kost,0
2026-09-10T08:55:00Z,Wasserstraße,0
2026-09-10T08:55:00Z,Königsallee,0
2026-09-10T08:55:00Z,Wasserbaulabor 2,0
2026-09-10T08:55:00Z,Herzogstraße,0
2026-09-10T09:00:00Z,An der Kost,0
2026-09-10T09:00:00Z,Wasserstraße,0
2026-09-10T09:00:00Z,Königsallee,0
2026-09-10T09:00:00Z,Wasserbaulabor 2,0
2026-09-10T09:00:00Z,Herzogstraße,0
2026-09-10T09:05:00Z,An der Kost,0
2026-09-10T09:05:00Z,Wasserstraße,0
2026-09-10T09:05:00Z,Königsallee,0
2026-09-10T09:05:00Z,Wasserbaulabor 2,0
2026-09-10T09:05:00Z,Herzogstraße,0
2026-09-10T09:10:00Z,An der Kost,0
2026-09-10T09:10:00Z,Wasserstraße,0
2026-09-10T09:10:00Z,Königsallee,0
2026-09-10T09:10:00Z,Wasserbaulabor 2,0
2026-09-10T09:10:00Z,Herzogstraße,0
2026-09-10T09:15:00Z,An der Kost,0
2026-09-10T09:15:00Z,Wasserstraße,0
2026-09-10T09:15:00Z,Königsallee,0
2026-09-10T09:15:00Z,Wasserbaulabor 2,0
2026-09-10T09:15:00Z,Herzogstraße,0
2026-09-10T09:20:00Z,An der Kost,0
2026-09-10T09:20:00Z,Wasserstraße,0
2026-09-10T09:20:00Z,Königsallee,0
2026-09-10T09:20:00Z,Wasserbaulabor 2,0
2026-09-10T09:20:00Z,Herzogstraße,0
2026-09-10T09:25:00Z,An der Kost,0
2026-09-10T09:25:00Z,Wasserstraße,0
2026-09-10T09:25:00Z,Königsallee,0
2026-09-10T09:25:00Z,Wasserbaulabor 2,0
2026-09-10T09:25:00Z,Herzogstraße,0
2026-09-10T09:30:00Z,An der Kost,0
2026-09-10T09:30:00Z,Wasserstraße,0
2026-09-10T09:30:00Z,Königsallee,0
2026-09-10T09:30:00Z,Wasserbaulabor 2,0
2026-09-10T09:30:00Z,Herzogstraße,0
2026-09-10T09:35:00Z,An der Kost,0
2026-09-10T09:35:00Z,Wasserstraße,0
2026-09-10T09:35:00Z,Königsallee,0
2026-09-10T09:35:00Z,Wasserbaulabor 2,0
2026-09-10T09:35:00Z,Herzogstraße,0
2026-09-10T09:40:00Z,An der Kost,0
2026-09-10T09:40:00Z,Wasserstraße,0
2026-09-10T09:40:00Z,Königsallee,0
2026-09-10T09:40:00Z,Wasserbaulabor 2,0
2026-09-10T09:40:00Z,Herzogstraße,0
2026-09-10T09:45:00Z,An der Kost,0
2026-09-10T09:45:00Z,Wasserstraße,0
2026-09-10T09:45:00Z,Königsallee,0
2026-09-10T09:45:00Z,Wasserbaulabor 2,0
2026-09-10T09:45:00Z,Herzogstraße,0
2026-09-10T09:50:00Z,An der Kost,0
2026-09-10T09:50:00Z,Wasserstraße,0
2026-09-10T09:50:00Z,Königsallee,0
2026-09-10T09:50:00Z,Wasserbaulabor 2,0
2026-09-10T09:50:00Z,Herzogstraße,0
2026-09-10T09:55:00Z,An der Kost,0
2026-09-10T09:55:00Z,Wasserstraße,0
2026-09-10T09:55:00Z,Königsallee,0
2026-09-10T09:55:00Z,Wasserbaulabor 2,0
2026-09-10T09:55:00Z,Herzogstraße,0
2026-09-10T10:00:00Z,An der Kost,0
2026-09-10T10:00:00Z,Wasserstraße,0
2026-09-10T10:00:00Z,Königsallee,0
2026-09-10T10:00:00Z,Wasserbaulabor 2,0
2026-09-10T10:00:00Z,Herzogstraße,0
2026-09-10T10:05:00Z,An der Kost,0
2026-09-10T10:05:00Z,Wasserstraße,0
2026-09-10T10:05:00Z,Königsallee,0
2026-09-10T10:05:00Z,Wasserbaulabor 2,0
2026-09-10T10:05:00Z,Herzogstraße,0
2026-09-10T10:10:00Z,An der Kost,0
2026-09-10T10:10:00Z,Wasserstraße,0
2026-09-10T10:10:00Z,Königsallee,0
2026-09-10T10:10:00Z,Wasserbaulabor 2,0
2026-09-10T10:10:00Z,Herzogstraße,0
2026-09-10T10:15:00Z,An der Kost,0
2026-09-10T10:15:00Z,Wasserstraße,0
2026-09-10T10:15:00Z,Königsallee,0
2026-09-10T10:15:00Z,Wasserbaulabor 2,0
2026-09-10T10:15:00Z,Herzogstraße,0
2026-09-10T10:20:00Z,An der Kost,0
2026-09-10T10:20:00Z,Wasserstraße,0
2026-09-10T10:20:00Z,Königsallee,0
2026-09-10T10:20:00Z,Wasserbaulabor 2,0
2026-09-10T10:20:00Z,Herzogstraße,0
2026-09-10T10:25:00Z,An der Kost,0
2026-09-10T10:25:00Z,Wasserstraße,0
2026-09-10T10:25:00Z,Königsallee,0
2026-09-10T10:25:00Z,Wasserbaulabor 2,0
2026-09-10T10:25:00Z,Herzogstraße,0
2026-09-10T10:30:00Z,An der Kost,0
2026-09-10T10:30:00Z,Wasserstraße,0
2026-09-10T10:30:00Z,Königsallee,0
2026-09-10T10:30:00Z,Wasserbaulabor 2,0
2026-09-10T10:30:00Z,Herzogstraße,0
2026-09-10T10:35:00Z,An der Kost,0
2026-09-10T10:35:00Z,Wasserstraße,0
2026-09-10T10:35:00Z,Königsallee,0
2026-09-10T10:35:00Z,Wasserbaulabor 2,0
2026-09-10T10:35:00Z,Herzogstraße,0
2026-09-10T10:40:00Z,An der Kost,0
2026-09-10T10:40:00Z,Wasserstraße,0
2026-09-10T10:40:00Z,Königsallee,0
2026-09-10T10:40:00Z,Wasserbaulabor 2,0
2026-09-10T10:40:00Z,Herzogstraße,0
2026-09-10T10:45:00Z,An der Kost,0
2026-09-10T10:45:00Z,Wasserstraße,0
2026-09-10T10:45:00Z,Königsallee,0
2026-09-10T10:45:00Z,Wasserbaulabor 2,0
2026-09-10T10:45:00Z,Herzogstraße,0
2026-09-10T10:50:00Z,An der Kost,0
2026-09-10T10:50:00Z,Wasserstraße,0
2026-09-10T10:50:00Z,Königsallee,0
2026-09-10T10:50:00Z,Wasserbaulabor 2,0
2026-09-10T10:50:00Z,Herzogstraße,0
2026-09-10T10:55:00Z,An der Kost,0
2026-09-10T10:55:00Z,Wasserstraße,0
2026-09-10T10:55:00Z,Königsallee,0
2026-09-10T10:55:00Z,Wasserbaulabor 2,0
2026-09-10T10:55:00Z,Herzogstraße,0
2026-09-10T11:00:00Z,An der Kost,0
2026-09-10T11:00:00Z,Wasserstraße,0
2026-09-10T11:00:00Z,Königsallee,0
2026-09-10T11:00:00Z,Wasserbaulabor 2,0
2026-09-10T11:00:00Z,Herzogstraße,0
2026-09-10T11:05:00Z,An der Kost,0
2026-09-10T11:05:00Z,Wasserstraße,0
2026-09-10T11:05:00Z,Königsallee,0
2026-09-10T11:05:00Z,Wasserbaulabor 2,0
2026-09-10T11:05:00Z,Herzogstraße,0
2026-09-10T11:10:00Z,An der Kost,0
2026-09-10T11:10:00Z,Wasserstraße,0
2026-09-10T11:10:00Z,Königsallee,0
2026-09-10T11:10:00Z,Wasserbaulabor 2,0
2026-09-10T11:10:00Z,Herzogstraße,0
2026-09-10T11:15:00Z,An der Kost,0
2026-09-10T11:15:00Z,Wasserstraße,0
2026-09-10T11:15:00Z,Königsallee,0
2026-09-10T11:15:00Z,Wasserbaulabor 2,0
2026-09-10T11:15:00Z,Herzogstraße,0
2026-09-10T11:20:00Z,An der Kost,0
2026-09-10T11:20:00Z,Wasserstraße,0
2026-09-10T11:20:00Z,Königsallee,0
2026-09-10T11:20:00Z,Wasserbaulabor 2,0
2026-09-10T11:20:00Z,Herzogstraße,0
2026-09-10T11:25:00Z,An der Kost,0
2026-09-10T11:25:00Z,Wasserstraße,0
2026-09-10T11:25:00Z,Königsallee,0
2026-09-10T11:25:00Z,Wasserbaulabor 2,0
2026-09-10T11:25:00Z,Herzogstraße,0
2026-09-10T11:30:00Z,An der Kost,0
2026-09-10T11:30:00Z,Wasserstraße,0
2026-09-10T11:30:00Z,Königsallee,0
2026-09-10T11:30:00Z,Wasserbaulabor 2,0
2026-09-10T11:30:00Z,Herzogstraße,0
2026-09-10T11:35:00Z,An der Kost,0
2026-09-10T11:35:00Z,Wasserstraße,0
2026-09-10T11:35:00Z,Königsallee,0
2026-09-10T11:35:00Z,Wasserbaulabor 2,0
2026-09-10T11:35:00Z,Herzogstraße,0
2026-09-10T11:40:00Z,An der Kost,0
2026-09-10T11:40:00Z,Wasserstraße,0
2026-09-10T11:40:00Z,Königsallee,0
2026-09-10T11:40:00Z,Wasserbaulabor 2,0
2026-09-10T11:40:00Z,Herzogstraße,0
2026-09-10T11:45:00Z,An der Kost,0
2026-09-10T11:45:00Z,Wasserstraße,0
2026-09-10T11:45:00Z,Königsallee,0
2026-09-10T11:45:00Z,Wasserbaulabor 2,0
2026-09-10T11:45:00Z,Herzogstraße,0
2026-09-10T11:50:00Z,An der Kost,0
2026-09-10T11:50:00Z,Wasserstraße,0
2026-09-10T11:50:00Z,Königsallee,0
2026-09-10T11:50:00Z,Wasserbaulabor 2,0
2026-09-10T11:50:00Z,Herzogstraße,0
2026-09-10T11:55:00Z,An der Kost,0
2026-09-10T11:55:00Z,Wasserstraße,0
2026-09-10T11:55:00Z,Königsallee,0
2026-09-10T11:55:00Z,Wasserbaulabor 2,0
2026-09-10T11:55:00Z,Herzogstraße,0
2026-09-10T12:00:00Z,An der Kost,0
2026-09-10T12:00:00Z,Wasserstraße,0
2026-09-10T12:00:00Z,Königsallee,0
2026-09-10T12:00:00Z,Wasserbaulabor 2,0
2026-09-10T12:00:00Z,Herzogstraße,0
2026-09-10T12:05:00Z,An der Kost,0
2026-09-10T12:05:00Z,Wasserstraße,0
2026-09-10T12:05:00Z,Königsallee,0
2026-09-10T12:05:00Z,Wasserbaulabor 2,0
2026-09-10T12:05:00Z,Herzogstraße,0
2026-09-10T12:10:00Z,An der Kost,0
2026-09-10T12:10:00Z,Wasserstraße,0
2026-09-10T12:10:00Z,Königsallee,0
2026-09-10T12:10:00Z,Wasserbaulabor 2,0
2026-09-10T12:10:00Z,Herzogstraße,0
2026-09-10T12:15:00Z,An der Kost,0
2026-09-10T12:15:00Z,Wasserstraße,0
2026-09-10T12:15:00Z,Königsallee,0
2026-09-10T12:15:00Z,Wasserbaulabor 2,0
2026-09-10T12:15:00Z,Herzogstraße,0
2026-09-10T12:20:00Z,An der Kost,0
2026-09-10T12:20:00Z,Wasserstraße,0
2026-09-10T12:20:00Z,Königsallee,0
2026-09-10T12:20:00Z,Wasserbaulabor 2,0
2026-09-10T12:20:00Z,Herzogstraße,0
2026-09-10T12:25:00Z,An der Kost,0
2026-09-10T12:25:00Z,Wasserstraße,0
2026-09-10T12:25:00Z,Königsallee,0
2026-09-10T12:25:00Z,Wasserbaulabor 2,0
2026-09-10T12:25:00Z,Herzogstraße,0
2026-09-10T12:30:00Z,An der Kost,0
2026-09-10T12:30:00Z,Wasserstraße,0
2026-09-10T12:30:00Z,Königsallee,0
2026-09-10T12:30:00Z,Wasserbaulabor 2,0
2026-09-10T12:30:00Z,Herzogstraße,0
2026-09-10T12:35:00Z,An der Kost,0
2026-09-10T12:35:00Z,Wasserstraße,0
2026-09-10T12:35:00Z,Königsallee,0
2026-09-10T12:35:00Z,Wasserbaulabor 2,0
2026-09-10T12:35:00Z,Herzogstraße,0
2026-09-10T12:40:00Z,An der Kost,0
2026-09-10T12:40:00Z,Wasserstraße,0
2026-09-10T12:40:00Z,Königsallee,0
2026-09-10T12:40:00Z,Wasserbaulabor 2,0
2026-09-10T12:40:00Z,Herzogstraße,0
2026-09-10T12:45:00Z,An der Kost,0
2026-09-10T12:45:00Z,Wasserstraße,0
2026-09-10T12:45:00Z,Königsallee,0
2026-09-10T12:45:00Z,Wasserbaulabor 2,0
2026-09-10T12:45:00Z,Herzogstraße,0
2026-09-10T12:50:00Z,An der Kost,0
2026-09-10T12:50:00Z,Wasserstraße,0
2026-09-10T12:50:00Z,Königsallee,0
2026-09-10T12:50:00Z,Wasserbaulabor 2,0
2026-09-10T12:50:00Z,Herzogstraße,0
2026-09-10T12:55:00Z,An der Kost,0
2026-09-10T12:55:00Z,Wasserstraße,0
2026-09-10T12:55:00Z,Königsallee,0
2026-09-10T12:55:00Z,Wasserbaulabor 2,0
2026-09-10T12:55:00Z,Herzogstraße,0
2026-09-10T13:00:00Z,An der Kost,0
2026-09-10T13:00:00Z,Wasserstraße,0
2026-09-10T13:00:00Z,Königsallee,0
2026-09-10T13:00:00Z,Wasserbaulabor 2,0
2026-09-10T13:00:00Z,Herzogstraße,0
2026-09-10T13:05:00Z,An der Kost,0
2026-09-10T13:05:00Z,Wasserstraße,0
2026-09-10T13:05:00Z,Königsallee,0
2026-09-10T13:05:00Z,Wasserbaulabor 2,0
2026-09-10T13:05:00Z,Herzogstraße,0
2026-09-10T13:10:00Z,An der Kost,0
2026-09-10T13:10:00Z,Wasserstraße,0
2026-09-10T13:10:00Z,Königsallee,0
2026-09-10T13:10:00Z,Wasserbaulabor 2,0
2026-09-10T13:10:00Z,Herzogstraße,0
2026-09-10T13:15:00Z,An der Kost,0
2026-09-10T13:15:00Z,Wasserstraße,0
2026-09-10T13:15:00Z,Königsallee,0
2026-09-10T13:15:00Z,Wasserbaulabor 2,0
2026-09-10T13:15:00Z,Herzogstraße,0
2026-09-10T13:20:00Z,An der Kost,0
2026-09-10T13:20:00Z,Wasserstraße,0
2026-09-10T13:20:00Z,Königsallee,0
2026-09-10T13:20:00Z,Wasserbaulabor 2,0
2026-09-10T13:20:00Z,Herzogstraße,0
2026-09-10T13:25:00Z,An der Kost,0
2026-09-10T13:25:00Z,Wasserstraße,0
2026-09-10T13:25:00Z,Königsallee,0
2026-09-10T13:25:00Z,Wasserbaulabor 2,0
2026-09-10T13:25:00Z,Herzogstraße,0
2026-09-10T13:30:00Z,An der Kost,0
2026-09-10T13:30:00Z,Wasserstraße,0
2026-09-10T13:30:00Z,Königsallee,0
2026-09-10T13:30:00Z,Wasserbaulabor 2,0
2026-09-10T13:30:00Z,Herzogstraße,0
2026-09-10T13:35:00Z,An der Kost,0
2026-09-10T13:35:00Z,Wasserstraße,0
2026-09-10T13:35:00Z,Königsallee,0
2026-09-10T13:35:00Z,Wasserbaulabor 2,0
2026-09-10T13:35:00Z,Herzogstraße,0
2026-09-10T13:40:00Z,An der Kost,0
2026-09-10T13:40:00Z,Wasserstraße,0
2026-09-10T13:40:00Z,Königsallee,0
2026-09-10T13:40:00Z,Wasserbaulabor 2,0
2026-09-10T13:40:00Z,Herzogstraße,0
2026-09-10T13:45:00Z,An der Kost,0
2026-09-10T13:45:00Z,Wasserstraße,0
2026-09-10T13:45:00Z,Königsallee,0
2026-09-10T13:45:00Z,Wasserbaulabor 2,0
2026-09-10T13:45:00Z,Herzogstraße,0
2026-09-10T13:50:00Z,An der Kost,0
2026-09-10T13:50:00Z,Wasserstraße,0
2026-09-10T13:50:00Z,Königsallee,0
2026-09-10T13:50:00Z,Wasserbaulabor 2,0
2026-09-10T13:50:00Z,Herzogstraße,0
2026-09-10T13:55:00Z,An der Kost,0
2026-09-10T13:55:00Z,Wasserstraße,0
2026-09-10T13:55:00Z,Königsallee,0
2026-09-10T13:55:00Z,Wasserbaulabor 2,0
2026-09-10T13:55:00Z,Herzogstraße,0
2026-09-10T14:00:00Z,An der Kost,0
2026-09-10T14:00:00Z,Wasserstraße,0
2026-09-10T14:00:00Z,Königsallee,0
2026-09-10T14:00:00Z,Wasserbaulabor 2,0
2026-09-10T14:00:00Z,Herzogstraße,0
2026-09-10T14:05:00Z,An der Kost,0
2026-09-10T14:05:00Z,Wasserstraße,0
2026-09-10T14:05:00Z,Königsallee,0
2026-09-10T14:05:00Z,Wasserbaulabor 2,0
2026-09-10T14:05:00Z,Herzogstraße,0
2026-09-10T14:10:00Z,An der Kost,0
2026-09-10T14:10:00Z,Wasserstraße,0
2026-09-10T14:10:00Z,Königsallee,0
2026-09-10T14:10:00Z,Wasserbaulabor 2,0
2026-09-10T14:10:00Z,Herzogstraße,0
2026-09-10T14:15:00Z,An der Kost,0
2026-09-10T14:15:00Z,Wasserstraße,0
2026-09-10T14:15:00Z,Königsallee,0
2026-09-10T14:15:00Z,Wasserbaulabor 2,0
2026-09-10T14:15:00Z,Herzogstraße,0
2026-09-10T14:20:00Z,An der Kost,0
2026-09-10T14:20:00Z,Wasserstraße,0
2026-09-10T14:20:00Z,Königsallee,0
2026-09-10T14:20:00Z,Wasserbaulabor 2,0
2026-09-10T14:20:00Z,Herzogstraße,0
2026-09-10T14:25:00Z,An der Kost,0
2026-09-10T14:25:00Z,Wasserstraße,0
2026-09-10T14:25:00Z,Königsallee,0
2026-09-10T14:25:00Z,Wasserbaulabor 2,0
2026-09-10T14:25:00Z,Herzogstraße,0
2026-09-10T14:30:00Z,An der Kost,0
2026-09-10T14:30:00Z,Wasserstraße,0
2026-09-10T14:30:00Z,Königsallee,0
2026-09-10T14:30:00Z,Wasserbaulabor 2,0
2026-09-10T14:30:00Z,Herzogstraße,0
2026-09-10T14:35:00Z,An der Kost,0
2026-09-10T14:35:00Z,Wasserstraße,0
2026-09-10T14:35:00Z,Königsallee,0
2026-09-10T14:35:00Z,Wasserbaulabor 2,0
2026-09-10T14:35:00Z,Herzogstraße,0
2026-09-10T14:40:00Z,An der Kost,0
2026-09-10T14:40:00Z,Wasserstraße,0
2026-09-10T14:40:00Z,Königsallee,0
2026-09-10T14:40:00Z,Wasserbaulabor 2,0
2026-09-10T14:40:00Z,Herzogstraße,0
2026-09-10T14:45:00Z,An der Kost,0
2026-09-10T14:45:00Z,Wasserstraße,0
2026-09-10T14:45:00Z,Königsallee,0
2026-09-10T14:45:00Z,Wasserbaulabor 2,0
2026-09-10T14:45:00Z,Herzogstraße,0
2026-09-10T14:50:00Z,An der Kost,0
2026-09-10T14:50:00Z,Wasserstraße,0
2026-09-10T14:50:00Z,Königsallee,0
2026-09-10T14:50:00Z,Wasserbaulabor 2,0
2026-09-10T14:50:00Z,Herzogstraße,0
2026-09-10T14:55:00Z,An der Kost,0
2026-09-10T14:55:00Z,Wasserstraße,0
2026-09-10T14:55:00Z,Königsallee,0
2026-09-10T14:55:00Z,Wasserbaulabor 2,0
2026-09-10T14:55:00Z,Herzogstraße,0
2026-09-10T15:00:00Z,An der Kost,0
2026-09-10T15:00:00Z,Wasserstraße,0
2026-09-10T15:00:00Z,Königsallee,0
2026-09-10T15:00:00Z,Wasserbaulabor 2,0
2026-09-10T15:00:00Z,Herzogstraße,0
2026-09-10T15:05:00Z,An der Kost,0
2026-09-10T15:05:00Z,Wasserstraße,0
2026-09-10T15:05:00Z,Königsallee,0
2026-09-10T15:05:00Z,Wasserbaulabor 2,0
2026-09-10T15:05:00Z,Herzogstraße,0
2026-09-10T15:10:00Z,An der Kost,0
2026-09-10T15:10:00Z,Wasserstraße,0
2026-09-10T15:10:00Z,Königsallee,0
2026-09-10T15:10:00Z,Wasserbaulabor 2,0
2026-09-10T15:10:00Z,Herzogstraße,0
2026-09-10T15:15:00Z,An der Kost,0
2026-09-10T15:15:00Z,Wasserstraße,0
2026-09-10T15:15:00Z,Königsallee,0
2026-09-10T15:15:00Z,Wasserbaulabor 2,0
2026-09-10T15:15:00Z,Herzogstraße,0
2026-09-10T15:20:00Z,An der Kost,0
2026-09-10T15:20:00Z,Wasserstraße,0
2026-09-10T15:20:00Z,Königsallee,0
2026-09-10T15:20:00Z,Wasserbaulabor 2,0
2026-09-10T15:20:00Z,Herzogstraße,0
2026-09-10T15:25:00Z,An der Kost,0
2026-09-10T15:25:00Z,Wasserstraße,0
2026-09-10T15:25:00Z,Königsallee,0
2026-09-10T15:25:00Z,Wasserbaulabor 2,0
2026-09-10T15:25:00Z,Herzogstraße,0
2026-09-10T15:30:00Z,An der Kost,0
2026-09-10T15:30:00Z,Wasserstraße,0
2026-09-10T15:30:00Z,Königsallee,0
2026-09-10T15:30:00Z,Wasserbaulabor 2,0
2026-09-10T15:30:00Z,Herzogstraße,0
2026-09-10T15:35:00Z,An der Kost,0
2026-09-10T15:35:00Z,Wasserstraße,0
2026-09-10T15:35:00Z,Königsallee,0
2026-09-10T15:35:00Z,Wasserbaulabor 2,0
2026-09-10T15:35:00Z,Herzogstraße,0
2026-09-10T15:40:00Z,An der Kost,0
2026-09-10T15:40:00Z,Wasserstraße,0
2026-09-10T15:40:00Z,Königsallee,0
2026-09-10T15:40:00Z,Wasserbaulabor 2,0
2026-09-10T15:40:00Z,Herzogstraße,0
2026-09-10T15:45:00Z,An der Kost,0
2026-09-10T15:45:00Z,Wasserstraße,0
2026-09-10T15:45:00Z,Königsallee,0
2026-09-10T15:45:00Z,Wasserbaulabor 2,0
2026-09-10T15:45:00Z,Herzogstraße,0
2026-09-10T15:50:00Z,An der Kost,0
2026-09-10T15:50:00Z,Wasserstraße,0
2026-09-10T15:50:00Z,Königsallee,0
2026-09-10T15:50:00Z,Wasserbaulabor 2,0
2026-09-10T15:50:00Z,Herzogstraße,0
2026-09-10T15:55:00Z,An der Kost,0
2026-09-10T15:55:00Z,Wasserstraße,0
2026-09-10T15:55:00Z,Königsallee,0
2026-09-10T15:55:00Z,Wasserbaulabor 2,0
2026-09-10T15:55:00Z,Herzogstraße,0
2026-09-10T16:00:00Z,An der Kost,0
2026-09-10T16:00:00Z,Wasserstraße,0
2026-09-10T16:00:00Z,Königsallee,0
2026-09-10T16:00:00Z,Wasserbaulabor 2,0
2026-09-10T16:00:00Z,Herzogstraße,0
2026-09-10T16:05:00Z,An der Kost,0
2026-09-10T16:05:00Z,Wasserstraße,0
2026-09-10T16:05:00Z,Königsallee,0
2026-09-10T16:05:00Z,Wasserbaulabor 2,0
2026-09-10T16:05:00Z,Herzogstraße,0
2026-09-10T16:10:00Z,An der Kost,0
2026-09-10T16:10:00Z,Wasserstraße,0
2026-09-10T16:10:00Z,Königsallee,0
2026-09-10T16:10:00Z,Wasserbaulabor 2,0
2026-09-10T16:10:00Z,Herzogstraße,0
2026-09-10T16:15:00Z,An der Kost,0
2026-09-10T16:15:00Z,Wasserstraße,0
2026-09-10T16:15:00Z,Königsallee,0
2026-09-10T16:15:00Z,Wasserbaulabor 2,0
2026-09-10T16:15:00Z,Herzogstraße,0
2026-09-10T16:20:00Z,An der Kost,0
2026-09-10T16:20:00Z,Wasserstraße,0
2026-09-10T16:20:00Z,Königsallee,0
2026-09-10T16:20:00Z,Wasserbaulabor 2,0
2026-09-10T16:20:00Z,Herzogstraße,0
2026-09-10T16:25:00Z,An der Kost,0
2026-09-10T16:25:00Z,Wasserstraße,0
2026-09-10T16:25:00Z,Königsallee,0
2026-09-10T16:25:00Z,Wasserbaulabor 2,0
2026-09-10T16:25:00Z,Herzogstraße,0
2026-09-10T16:30:00Z,An der Kost,0
2026-09-10T16:30:00Z,Wasserstraße,0
2026-09-10T16:30:00Z,Königsallee,0
2026-09-10T16:30:00Z,Wasserbaulabor 2,0
2026-09-10T16:30:00Z,Herzogstraße,0
2026-09-10T16:35:00Z,An der Kost,0
2026-09-10T16:35:00Z,Wasserstraße,0
2026-09-10T16:35:00Z,Königsallee,0
2026-09-10T16:35:00Z,Wasserbaulabor 2,0
2026-09-10T16:35:00Z,Herzogstraße,0
2026-09-10T16:40:00Z,An der Kost,0
2026-09-10T16:40:00Z,Wasserstraße,0
2026-09-10T16:40:00Z,Königsallee,0
2026-09-10T16:40:00Z,Wasserbaulabor 2,0
2026-09-10T16:40:00Z,Herzogstraße,0
2026-09-10T16:45:00Z,An der Kost,0
